x,y
57.9863,28.7668
58.0312,28.7842
58.0762,28.8016
58.1211,28.8191
58.166,28.8364
58.2109,28.8538
58.2558,28.8712
58.3007,28.8885
58.3455,28.9059
58.3903,28.9232
58.4352,28.9405
58.48,28.9578
58.5248,28.975
58.5696,28.9923
58.6143,29.0095
58.6591,29.0267
58.7038,29.044
58.7485,29.0611
58.7932,29.0783
58.8379,29.0955
58.8826,29.1126
58.9273,29.1298
58.9719,29.1469
59.0166,29.164
59.0612,29.1811
59.1058,29.1981
59.1504,29.2152
59.195,29.2322
59.2395,29.2493
59.2841,29.2663
59.3286,29.2833
59.3732,29.3002
59.4177,29.3172
59.4622,29.3341
59.5066,29.3511
59.5511,29.368
59.5956,29.3849
59.64,29.4018
59.6844,29.4187
59.7288,29.4355
59.7732,29.4524
59.8176,29.4692
59.862,29.486
59.9063,29.5028
59.9507,29.5196
59.995,29.5363
60.0393,29.5531
60.0836,29.5698
60.1279,29.5866
60.1722,29.6033
60.2164,29.62
60.2607,29.6366
60.3049,29.6533
60.3491,29.6699
60.3933,29.6866
60.4375,29.7032
60.4817,29.7198
60.5258,29.7364
60.57,29.7529
60.6141,29.7695
60.6582,29.786
60.7023,29.8026
60.7464,29.8191
60.7905,29.8356
60.8346,29.8521
60.8786,29.8685
60.9227,29.885
60.9667,29.9014
61.0107,29.9178
61.0547,29.9342
61.0987,29.9506
61.1426,29.967
61.1866,29.9834
61.2305,29.9997
61.2744,30.016
61.3184,30.0324
61.3622,30.0487
61.4061,30.065
61.45,30.0812
61.4939,30.0975
61.5377,30.1137
61.5815,30.13
61.6253,30.1462
61.6691,30.1624
61.7129,30.1785
61.7567,30.1947
61.8005,30.2109
61.8442,30.227
61.8879,30.2431
61.9317,30.2592
61.9754,30.2753
62.0191,30.2914
62.0627,30.3075
62.1064,30.3235
62.1501,30.3396
62.1937,30.3556
62.2373,30.3716
62.2809,30.3876
62.3245,30.4036
62.3681,30.4195
62.4117,30.4355
62.4552,30.4514
62.4988,30.4673
62.5423,30.4832
62.5858,30.4991
62.6293,30.515
62.6728,30.5308
62.7163,30.5467
62.7598,30.5625
62.8032,30.5783
62.8467,30.5941
62.8901,30.6099
62.9335,30.6257
62.9769,30.6414
63.0203,30.6572
63.0636,30.6729
63.107,30.6886
63.1503,30.7043
63.1937,30.72
63.237,30.7357
63.2803,30.7513
63.3236,30.7669
63.3669,30.7826
63.4101,30.7982
63.4534,30.8138
63.4966,30.8294
63.5398,30.8449
63.583,30.8605
63.6262,30.876
63.6694,30.8915
63.7126,30.907
63.7558,30.9225
63.7989,30.938
63.842,30.9535
63.8851,30.9689
63.9283,30.9844
63.9713,30.9998
64.0144,31.0152
64.0575,31.0306
64.1005,31.046
64.1436,31.0613
64.1866,31.0767
64.2296,31.092
64.2726,31.1073
64.3156,31.1226
64.3586,31.1379
64.4015,31.1532
64.4445,31.1684
64.4874,31.1837
64.5303,31.1989
64.5732,31.2141
64.6161,31.2293
64.659,31.2445
64.7019,31.2597
64.7448,31.2749
64.7876,31.29
64.8304,31.3051
64.8732,31.3203
64.916,31.3354
64.9588,31.3504
65.0016,31.3655
65.0444,31.3806
65.0871,31.3956
65.1299,31.4107
65.1726,31.4257
65.2153,31.4407
65.258,31.4557
65.3007,31.4706
65.3434,31.4856
65.386,31.5005
65.4287,31.5155
65.4713,31.5304
65.514,31.5453
65.5566,31.5602
65.5992,31.5751
65.6417,31.5899
65.6843,31.6048
65.7269,31.6196
65.7694,31.6344
65.812,31.6492
65.8545,31.664
65.897,31.6788
65.9395,31.6935
65.982,31.7083
66.0244,31.723
66.0669,31.7377
66.1093,31.7524
66.1518,31.7671
66.1942,31.7818
66.2366,31.7964
66.279,31.8111
66.3214,31.8257
66.3637,31.8403
66.4061,31.8549
66.4484,31.8695
66.4908,31.8841
66.5331,31.8987
66.5754,31.9132
66.6177,31.9277
66.66,31.9423
66.7022,31.9568
66.7445,31.9713
66.7867,31.9857
66.829,32.0002
66.8712,32.0146
66.9134,32.0291
66.9556,32.0435
66.9978,32.0579
67.0399,32.0723
67.0821,32.0867
