t,v(t)
26.68,-239.712
26.7,-239.861
26.72,-240.01
26.74,-240.159
26.76,-240.309
26.78,-240.458
26.8,-240.607
26.82,-240.755
26.84,-240.904
26.86,-241.053
26.88,-241.202
26.9,-241.35
26.92,-241.499
26.94,-241.647
26.96,-241.796
26.98,-241.944
27,-242.092
27.02,-242.24
27.04,-242.388
27.06,-242.536
27.08,-242.684
27.1,-242.832
27.12,-242.98
27.14,-243.128
27.16,-243.275
27.18,-243.423
27.2,-243.57
27.22,-243.717
27.24,-243.865
27.26,-244.012
27.28,-244.159
27.3,-244.306
27.32,-244.453
27.34,-244.6
27.36,-244.747
27.38,-244.894
27.4,-245.04
27.42,-245.187
27.44,-245.333
27.46,-245.48
27.48,-245.626
27.5,-245.772
27.52,-245.918
27.54,-246.065
27.56,-246.211
27.58,-246.357
27.6,-246.502
27.62,-246.648
27.64,-246.794
27.66,-246.939
27.68,-247.085
27.7,-247.23
27.72,-247.376
27.74,-247.521
27.76,-247.666
27.78,-247.812
27.8,-247.957
27.82,-248.102
27.84,-248.246
27.86,-248.391
27.88,-248.536
27.9,-248.681
27.92,-248.825
27.94,-248.97
27.96,-249.114
27.98,-249.258
28,-249.403
28.02,-249.547
28.04,-249.691
28.06,-249.835
28.08,-249.979
28.1,-250.123
28.12,-250.267
28.14,-250.41
28.16,-250.554
28.18,-250.697
28.2,-250.841
28.22,-250.984
28.24,-251.127
28.26,-251.271
28.28,-251.414
28.3,-251.557
28.32,-251.7
28.34,-251.842
28.36,-251.985
28.38,-252.128
28.4,-252.271
28.42,-252.413
28.44,-252.555
28.46,-252.698
28.48,-252.84
28.5,-252.982
28.52,-253.124
28.54,-253.266
28.56,-253.408
28.58,-253.55
28.6,-253.692
28.62,-253.834
28.64,-253.975
28.66,-254.117
28.68,-254.258
28.7,-254.4
28.72,-254.541
28.74,-254.682
28.76,-254.823
28.78,-254.964
28.8,-255.105
28.82,-255.246
28.84,-255.387
28.86,-255.527
28.88,-255.668
28.9,-255.808
28.92,-255.949
28.94,-256.089
28.96,-256.229
28.98,-256.37
29,-256.51
29.02,-256.65
29.04,-256.79
29.06,-256.929
29.08,-257.069
29.1,-257.209
29.12,-257.348
29.14,-257.488
29.16,-257.627
29.18,-257.766
29.2,-257.906
29.22,-258.045
29.24,-258.184
29.26,-258.323
29.28,-258.462
29.3,-258.6
29.32,-258.739
29.34,-258.878
29.36,-259.016
29.38,-259.155
29.4,-259.293
29.42,-259.431
29.44,-259.569
29.46,-259.708
29.48,-259.846
29.5,-259.983
29.52,-260.121
29.54,-260.259
29.56,-260.397
29.58,-260.534
29.6,-260.672
29.62,-260.809
29.64,-260.946
29.66,-261.084
29.68,-261.221
29.7,-261.358
29.72,-261.495
29.74,-261.631
29.76,-261.768
29.78,-261.905
29.8,-262.041
29.82,-262.178
29.84,-262.314
29.86,-262.451
29.88,-262.587
29.9,-262.723
29.92,-262.859
29.94,-262.995
29.96,-263.131
29.98,-263.267
30,-263.402
30.02,-263.538
30.04,-263.673
30.06,-263.809
30.08,-263.944
30.1,-264.079
